date_seen_utc,headline,source,url
20251002T050000Z,Commonwealth Bank ADMITS to sending jobs offshore,,https://www.dailymail.co.uk/news/article-15154415/Commonwealth-Bank-Australia-India-offshore.html
20250815T001500Z,Brutal cash blow for more than 10million Australians : Commonwealth Bank boss unleashes at share price bloodbath,,https://www.dailymail.co.uk/news/article-15002109/Brutal-cash-blow-10million-Australians-Commonwealth-Bank-boss-unleashes-share-price-bloodbath.html
20250731T030000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Canberra Times",,https://www.canberratimes.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250821T050000Z,Commonwealth Bank bosses are forced to admit to making major mistake,,https://www.dailymail.co.uk/news/article-15019489/Commonwealth-Bank-bosses-forced-admit-making-major-mistake.html
20250731T034500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Standard",,https://www.standard.net.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250814T044500Z,Commbank CEO shares vision of AI future,,https://www.abc.net.au/listen/programs/radionational-breakfast/commbank-ceo/105647380
20251002T051500Z,Thousands of customers affected by CommBank outage,,https://www.standard.net.au/story/9080063/thousands-of-customers-affected-by-commbank-outage/
20251002T051500Z,Thousands of customers affected by CommBank outage,,https://www.examiner.com.au/story/9080063/thousands-of-customers-affected-by-commbank-outage/
20250821T044500Z,Commonwealth Bank reverses AI customer service related job cuts | The Canberra Times,,https://www.canberratimes.com.au/story/9046323/commonwealth-bank-reverses-ai-customer-service-related-job-cuts/
20250731T020000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Illawarra Mercury",,https://www.illawarramercury.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250821T231500Z,"Commonwealth Bank reverses AI chatbot job cuts , admits  error  | The Standard",,https://www.standard.net.au/story/9046323/commonwealth-bank-reverses-ai-chatbot-job-cuts-admits-error/
20250821T044500Z,Commonwealth Bank reverses AI customer service related job cuts | The Standard,,https://www.standard.net.au/story/9046323/commonwealth-bank-reverses-ai-customer-service-related-job-cuts/
20250821T034500Z,Commonwealth Bank Reverses Job Cuts Decision Over AI Chatbots,,https://www.livemint.com/companies/news/commonwealth-bank-reverses-job-cuts-decision-over-ai-chatbots-11755738823417.html
20251002T033000Z,Commonwealth Bank suffers ANOTHER outage leaving thousands of Aussies unable to access their money,,https://www.dailymail.co.uk/news/article-15154575/Commonwealth-Bank-outage-online-banking.html
20250923T080000Z,Sydney news : Woman arrested after allegedly trying to rob bank with stolen knife,,https://www.9news.com.au/national/kingsgrove-attempted-bank-robbery/1f2a9a3c-2f1f-4b6a-b68d-4805349e2c14
20250820T114500Z,Cry us a river ! How the Commonwealth Bank - worth $300BILLION - is secretly trying to fight a push to axe annoying credit card surcharges,,https://www.dailymail.co.uk/news/article-15016759/credit-card-surcharge-fees-banks.html
20250810T210000Z,Commonwealth Bank tightens anti - scam technology with AI tool and new layer of in - app security,,https://www.9news.com.au/national/commonwealth-bank-new-ai-tool-to-prevent-scams-reveals-major-decrease-in-scam-losses/bd667ca4-c936-4a19-b500-2a3a8a69e657
20250821T020000Z,Commonwealth Bank reverses AI customer service related job cuts | Illawarra Mercury,,https://www.illawarramercury.com.au/story/9046323/commonwealth-bank-reverses-ai-customer-service-related-job-cuts/
20251002T050000Z,Commonwealth Bank services go offline in major outage for bank | The Canberra Times,,https://www.canberratimes.com.au/story/9079898/commonwealth-bank-services-go-offline-in-major-outage-for-bank/
20250731T014500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Bendigo Advertiser",,https://www.bendigoadvertiser.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250718T014500Z,Commonwealth Bank sends jobs to India as it cuts hundreds of workers,,https://www.dailymail.co.uk/news/article-14917031/Commonwealth-Bank-sends-jobs-India-cuts-hundreds-workers-Australia-despite-record-profits.html
20251002T033000Z,Commonwealth Bank services go offline in major outage for bank | Illawarra Mercury,,https://www.illawarramercury.com.au/story/9079898/commonwealth-bank-services-go-offline-in-major-outage-for-bank/
20250813T054500Z,Commonwealth Bank posts record $10 . 25 billion profit,,https://www.9news.com.au/national/commonwealth-bank-record-profit-2024-2025-financial-year/4f0c99d9-0466-40cc-873b-5ee877c42dc9
20250728T193000Z,Banks to refund $60m of  excessive  fees but CommBank withholds $270m,,https://www.abc.net.au/news/2025-07-29/asic-bank-fee-refunds-millions-low-income-customers-australia/105562370
